ID,app_ID,Call,Service_Type,Market,State,transmitter_lat,transmitter_lon,avg.dist,xFormat,Format,SEPT.16,OCT.16,NOV.16,DEC.16,Share_Change,Christmas
BLED-19910514KC,161255,KAJX,FM,NA,CO,39.19665,-106.80448,8936.2,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20140616ABI,1641126,KAJZ,FM,NA,TX,30.67685,-98.5667,33235.05,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-19980619KA,270120,KAKA,FM,NA,KS,39.07,-97.85421,39780.4,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20141202AAO,1663513,KAKI,FM,NA,AK,58.30112,-134.44222,11564.07,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20040330BFG,983557,KAKJ,FM,NA,AR,34.78732,-90.76761,27908.51,NA,NA,NA,NA,NA,NA,NA,FALSE
BMLED-20141117AJJ,1658980,KAKL,FM,NA,AK,61.12,-149.8972,25108.15,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20120425ADY,1497493,KAKN,FM,NA,AK,58.74371,-156.9777,22608.94,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20060310AEC,1118491,KAKO,FM,NA,OK,35.22674,-96.92863,48927.24,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20020801AAH,608183,KAKQ,FM,NA,AK,64.91528,-147.64778,45551.6,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20130826AFB,1570784,KAKS,FM,NA,AR,36.20555,-94.10195,21478.32,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19901001KD,152973,KAKT,FM,NA,OR,42.4279,-123.00227,46636.18,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20031125AMS,706894,KAKV,FM,NA,AR,33.20846,-92.70849,37576.78,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20050825ABD,1104747,KAKX,FM,NA,CA,39.31267,-123.78363,11000.41,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20090921AAX,1338844,KALA,FM,NA,IA,41.59553,-90.67895,24890.21,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20050602ABO,1064104,KALC,FM,Denver,CO,39.73277,-105.2361,60871.97,NA,Modern Adult Contemporary,NA,3.8,3.6,4.3,0.7,FALSE
BLED-20100618ARG,1377770,KALD,FM,NA,TX,30.59937,-96.64247,43494.32,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19950405KD,207914,KALF,FM,NA,CA,39.9171,-122.67056,56976.94,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20090708ADJ,1321845,KALG,FM,NA,AK,64.32711,-158.72915,5643.63,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19981028KF,276212,KALI,FM,NA,CA,33.75585,-117.85589,24797.43,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19920813KC,176113,KALK,FM,NA,TX,33.18373,-95.20911,38406.83,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-20081212AAS,1284045,KALN,FM,NA,NM,33.39927,-104.37552,45968.06,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-19910826KD,164216,KALP,FM,NA,TX,30.31932,-103.61824,24307.72,NA,NA,NA,NA,NA,NA,NA,FALSE
BLH-4443,291088,KALQ,FM,NA,CO,37.47223,-105.85419,20460.55,NA,NA,NA,NA,NA,NA,NA,FALSE
BLED-20071005ADS,1210244,KALR,FM,NA,AR,34.62537,-93.01046,31782.72,NA,NA,NA,NA,NA,NA,NA,FALSE
