From: https://tlr.nielsen.com/tlr/public/ratingsDisplay.do?method=loadRatingsForMarket,,,,,,,
City,State,Subscriber, Format,16-Sep, OCT 16, NOV 16, DEC 16
Denver,CO,KQKS-FM,Rhythmic Contemporary Hit Radio,,4.4,3.9,3.6
Denver,CO,KBCO-FM,Album Adult Alternative,,4,4.2,3.4
Denver,CO,KKFN-FM,All Sports,,4.9,4.3,3.4
Denver,CO,KLDV-FM,Contemporary Christian,,2.9,2.5,3.3
Denver,CO,KJMN-FM,Spanish Adult Hits,,3,3.5,3.1
Denver,CO,KXPK-FM,Mexican Regional,,2.9,3.3,2.9
Denver,CO,KQKS-FM HD2,Comedy,,1.9,2.2,2.5
Denver,CO,KVOD-FM,Classical,,1.3,1.7,1.7
Denver,CO,KWOF-FM,Country,,1.8,1.7,1.6
Denver,CO,KHOW-AM,News Talk Information,,1.5,1.4,1.5
Denver,CO,KJHM-FM,Rhythmic Oldies,,1.3,1.4,1.2
Denver,CO,KEZW-AM,Oldies,,1.5,1.2,1
Denver,CO,KFCO-FM,Rhythmic Contemporary Hit Radio,,1.3,1.3,1
Denver,CO,KUNC-FM,News Talk Information,,0.8,0.7,1
Denver,CO,KUVO-FM,Jazz,,1.1,0.7,0.9
Denver,CO,KVOQ-FM,Alternative,,0.4,0.5,0.6
Denver,CO,KCKK-AM,Variety,,0.6,0.6,0.4
Denver,CO,KJAC-FM,Album Adult Alternative,,0.5,0.4,0.4
Denver,CO,KDSP-AM,All Sports,,0.4,0.3,0.3
Denver,CO,KEPN-AM,All Sports,,0.1,0.2,0.1
Denver,CO,KKSE-AM,All Sports,,0.2,0.1,0.1
Denver,CO,KMXA-AM,Spanish Contemporary,,0.2,0.1,0.1
Detroit,MI,WOMC-FM,Classic Hits,,6.4,6.8,7.1
Detroit,MI,WNIC-FM,Adult Contemporary,,5.2,5.7,6.8
Detroit,MI,WJR-AM,News Talk Information,,5.9,6.7,6.7
Detroit,MI,WWJ-AM,All News,,5,5.5,5.4
Detroit,MI,WCSX-FM,Classic Rock,,5.3,5.7,5.2
Detroit,MI,WXYT-FM,All Sports,,7.5,6,4.9
Detroit,MI,WRIF-FM,Active Rock,,5.6,5.7,4.8
Detroit,MI,WMXD-FM,Urban Adult Contemporary,,4.6,4.3,4.7
Detroit,MI,WYCD-FM,Country,,5,5,4.6
Detroit,MI,WKQI-FM,Pop Contemporary Hit Radio,,4.2,4.7,4.4
Detroit,MI,WJLB-FM,Urban Contemporary,,3.7,3.9,4.2
Detroit,MI,WDVD-FM,Hot Adult Contemporary,,4.3,4.3,3.9
Detroit,MI,WDZH-FM,Pop Contemporary Hit Radio,,2.9,3.3,3.5
Detroit,MI,WDMK-FM,Urban Adult Contemporary,,3.1,2.6,3.3
Detroit,MI,WDRQ-FM,Country,,3.1,3.3,3.1
Detroit,MI,WMGC-FM,Rhythmic AC,,4.1,3.3,3
Detroit,MI,WUOM-FM,News Talk Information,,2.9,2.6,2.6
Detroit,MI,WDTW-FM,Classic Rock,,2.2,2.3,2.4
Detroit,MI,WGPR-FM,Urban Contemporary,,2.7,2.2,2.3
Detroit,MI,WPZR-FM,Gospel,,2,2,2.3
Detroit,MI,WRCJ-FM,Classical,,1,1.1,1.5
Detroit,MI,WDET-FM,News Talk Information,,1,1.1,1
Detroit,MI,WCHB-AM,News Talk Information,,0.2,0.3,0.3
Detroit,MI,WDFN-AM,All Sports,,0.2,0.2,0.1
Detroit,MI,WFDF-AM,Talk/Personality,,*,*,0.1
Detroit,MI,WXYT-AM,All Sports,,0.2,0.2,0.1
Houston,TX,KODA-FM,Adult Contemporary,,6.6,6.9,7.3
Houston,TX,KMJQ-FM,Urban Adult Contemporary,,6.1,7.1,6.9
Houston,TX,KLTN-FM,Mexican Regional,,8,7.4,6.7
Houston,TX,KGLK-FM,Classic Rock,,6.1,6.2,6.4
Houston,TX,KSBJ-FM,Contemporary Christian,,4.9,5,4.6
Houston,TX,KLOL-FM,Spanish Contemporary,,3.9,4.2,4.5
Houston,TX,KBXX-FM,Rhythmic Contemporary Hit Radio,,4.5,4.5,4.3
Houston,TX,KKBQ-FM,Country,,4.2,4.9,4.3
Houston,TX,KILT-FM,New Country,,3.4,3.6,4
Houston,TX,KTRH-AM,News Talk Information,,3.3,3.5,4
Houston,TX,KOVE-FM,Spanish Adult Hits,,4,3.4,3.9
Houston,TX,KQBT-FM,Urban Contemporary,,4,4.2,3.9
Houston,TX,KTBZ-FM,Alternative,,4,3.7,3.9
Houston,TX,KRBE-FM,Pop Contemporary Hit Radio,,3.8,3.3,3.5
Houston,TX,KUHF-FM,News Talk Information,,2.7,2.9,3.3
Houston,TX,KAMA-FM,Spanish Contemporary,,2.5,2.2,2.9
Houston,TX,KTHT-FM,Classic Country,,2.9,2.9,2.8
Houston,TX,KKHH-FM,Pop Contemporary Hit Radio,,2.6,2.7,2.7
Houston,TX,KHMX-FM,Hot Adult Contemporary,,3,2.5,2.5
Houston,TX,KQQK-FM,Mexican Regional,,2.4,2.1,1.7
Houston,TX,KILT-AM,All Sports,,2.2,2,1.6
Houston,TX,KTJM-FM,Mexican Regional,,1.9,1.7,1.5
Houston,TX,KROI-FM,Rhythmic AC,,1.4,1.6,1.4
Houston,TX,KTSU-FM,Jazz,,1.2,1,1
Houston,TX,KFNC-FM,All Sports,,0.8,0.7,0.7
Houston,TX,KTBZ-FM HD2,Mexican Regional,,0.7,0.5,0.7
Houston,TX,KBME-AM,All Sports,,1,0.7,0.6
Houston,TX,KODA-FM HD3,Spanish Religious,,0.2,0.7,0.6
Houston,TX,KSEV-AM,Talk/Personality,,0.4,0.5,0.5
Houston,TX,KPRC-AM,Talk/Personality,,0.3,0.3,0.4
Houston,TX,KQBU-FM,Mexican Regional,,0.3,0.3,0.4
Houston,TX,KEYH-AM,Spanish Variety,,0.5,0.3,0.3
Houston,TX,KXNG-FM,Contemporary Christian,,0.2,0.2,0.2
Houston,TX,KLAT-AM,Spanish Contemporary Christian,,*,0.1,*
Houston,TX,KODA-FM HD2,Spanish Contemporary Christian,,*,0.2,*
Indianapolis,IN,WJJK-FM,Adult Hits,7.4,7.6,7.8,
Indianapolis,IN,WZPL-FM,Pop Contemporary Hit Radio,7.8,7.3,7.7,
Indianapolis,IN,WYXB-FM,Soft Adult Contemporary,7.3,7.5,7,
Indianapolis,IN,WFMS-FM,Country,6,6.2,6.5,
Indianapolis,IN,WTLC-FM,Urban Adult Contemporary,6.5,7.1,6.4,
Indianapolis,IN,WFBQ-FM,Classic Rock,5.5,5.4,5.7,
Indianapolis,IN,WOLT-FM,Alternative,5.6,4.7,5.5,
Indianapolis,IN,WLHK-FM,Country,4.7,5.2,5.3,
Indianapolis,IN,WHHH-FM,Rhythmic Contemporary Hit Radio,4.3,5.2,5,
Indianapolis,IN,WNTR-FM,Adult Contemporary,4.4,4.7,4.2,
Indianapolis,IN,WIBC-FM,News Talk Information,3.8,3.5,3.5,
Indianapolis,IN,WNOW-FM,Pop Contemporary Hit Radio,3.2,3.2,3,
Indianapolis,IN,WFNI-AM,All Sports,2.1,2.7,2.7,
Indianapolis,IN,WRWM-FM,Rhythmic AC,2.5,2.8,2.6,
Indianapolis,IN,WTLC-AM,Contemporary Inspirational,0.9,1.3,2.6,
Indianapolis,IN,WFYI-FM,News Talk Information,2.8,2.5,2.4,
Indianapolis,IN,WNDE-AM,All Sports,0.9,1,1.3,
Indianapolis,IN,WZRL-FM+,Urban Contemporary,1,0.9,1.2,
Indianapolis,IN,WGNR-FM,Religious,0.6,0.7,0.9,
Indianapolis,IN,WICR-FM,Classical,1,0.9,0.9,
Indianapolis,IN,WNOW-FM HD2,Urban Oldies,0.8,1.2,0.9,
Indianapolis,IN,WIBC-FM HD2,All Sports,0.3,0.4,0.6,
Indianapolis,IN,WXNT-AM,All Sports,0.1,0.1,0.1,
Jacksonville,FL,WOKV-FM,News Talk Information,6.5,7.2,8.9,
Jacksonville,FL,WEJZ-FM,Adult Contemporary,9.4,9.2,8.7,
Jacksonville,FL,WJGL-FM,Classic Hits,9.3,8.1,8.1,
Jacksonville,FL,WAPE-FM,Pop Contemporary Hit Radio,8.6,9.1,7.9,
Jacksonville,FL,WQIK-FM,Country,7.3,6.7,6.8,
Jacksonville,FL,WJBT-FM,Urban Contemporary,6.4,7,6.4,
Jacksonville,FL,WGNE-FM,Country,4.3,5.2,5.3,
Jacksonville,FL,WKSL-FM,Pop Contemporary Hit Radio,4.1,4.6,4.7,
Jacksonville,FL,WSOL-FM,Urban Adult Contemporary,5.2,5.1,4.4,
Jacksonville,FL,WJCT-FM,News Talk Information,4.2,3.6,3.8,
Jacksonville,FL,WWJK-FM,Adult Hits,3.3,3,3.8,
Jacksonville,FL,WXXJ-FM,Alternative,3.7,3.8,3.7,
Jacksonville,FL,WEZI-FM,Soft Adult Contemporary,3.3,3.1,3.6,
Jacksonville,FL,WJGL-FM HD2,Urban Contemporary,3.2,2.6,3,
Jacksonville,FL,WMUV-FM,Contemporary Christian,1,0.8,1.3,
Jacksonville,FL,WFXJ-AM,All Sports,0.3,0.8,0.6,
Jacksonville,FL,WKSL-FM HD2,Active Rock,0.4,0.5,0.3,
Jacksonville,FL,WQIK-FM HD2,Alternative,0.3,0.3,0.2,
Jacksonville,FL,WSOL-FM HD2,Oldies,*,*,0.1,
Kansas City,MO,KCMO-FM,Classic Hits,7.2,8.1,7.8,
Kansas City,MO,KCFX-FM,Classic Rock,7.3,7.6,7.7,
